Endereços;CEP
Avenida Borges de Melo até 99/100;60851195
Avenida General Murilo Borges;60851250
Avenida Governador Raul Barbosa de 5001/5002 a 5725/5726;60851290
Rodovia BR-116 lado ímpar;60851025
Rodovia BR-116 lado par;60851032
Rua Alecrim;60851730
Rua Aspirante Mendes até 728/729;60851285
Rua Beni Carvalho;60851780
Rua Capitão Aragão;60851150
Rua Capitão Clóvis Maia;60851000
Rua Capitão Nogueira;60851180
Rua Capitão Olavo até 834/835;60851245
Rua Capitão Uruguai;60851100
Rua Capitão Vasconcelos até 884/885;60851225
Rua Djalma Petit;60851120
Rua Hermínio Barbosa;60851760
Rua Hermínio Barroso;60851640
Rua José Buson;60851170
Rua Major Gerardo Mendes até 788/789;60851445
Rua Mundau;60851650
Rua Nossa Senhora de Fátima;60851380
Rua Piloto;60851600
Rua Salete Monteiro;60851460
Rua Siqueira Campos;60851770
Rua Sousa Pinto;60851190
Rua Tenente Barbosa;60851490
Rua Tenente Bezerra;60851670
Rua Tenente Roma;60851030
Rua Zuila Silveira de Araújo - lado par;60851197
Travessa Anhaguera;60851740
Travessa Bom Retiro;60851580
Travessa Campo Verde;60851570
Travessa Capitão Aragão;60851590
Travessa Capitão Vasconcelos;60851010
Travessa Centenário;60851790
Travessa Creta;60851560
Travessa Gurupy;60851690
Travessa Ibiporã;60851630
Travessa Mundau;60851660
Travessa Nossa Senhora da Assunção;60851350
Travessa Parajuru;60851160
Travessa Particular;60851070
Travessa Piloto;60851500
Travessa Raul Barbosa;60851375
Travessa Rossini;60851210
Travessa Santo Antônio;60851130
Travessa Santos Dumont;60851050
Travessa São José;60851610
Travessa São Raimundo;60851620
Travessa Sena;60851550
Travessa Sousa Pinto;60851200
Travessa Tenente Bezerra;60851680
Travessa Vila Ícaro;60851020
Vila Antônio Fernandes;60851320
Vila Aquino;60851140
Vila Auri;60851300
Vila Boa Hora;60851330
Vila Câmara;60851110
Vila Cid;60851480
Vila Dona Ana;60851310
Vila Fausto;60851410
Vila Francesa;60851400
Vila Guarujá;60851750
Vila Integral;60851090
Vila Luciana;60851430
Vila Maias;60851450
Vila Maurílio;60851470
Vila Morena;60851390
Vila Nova;60851040
Vila Novidades;60851530
Vila Real;60851377
Vila Sandra;60851060
Vila Santo Antônio;60851230
Vila São Sebastião;60851260
Vila Tenório;60851080
Vila Tia Maura;60851420
Vila Vale Verde;60851720
Vila Valente;60851360
Vila Wilson Constantino;60851710
